loop1: max_iter=50, norm_reduction(target=0.001, final=0.000805199)
  i                   resNorm                         J                        Jb                      JoJc
  0         1310.776698490965      1068387.520786646055            0.000000000000      1068387.520786646055
  1          904.568157255198      1063879.992644624086           23.650997631727      1063856.341646991903
  2          678.869349694521      1061099.533202386927           80.724836644562      1061018.808365742909
  3          639.608677871061      1058956.396759697935          182.723476929593      1058773.673282768112
  4          469.351436850698      1057676.222388664959          286.494551711401      1057389.727836953010
  5          417.528481864099      1056340.200055134017          455.866482896387      1055884.333572237985
  6          321.765295716373      1055225.570859506959          671.289276838170      1054554.281582668889
  7          302.532716404998      1054373.333017644007          905.997128450590      1053467.335889192997
  8          257.785940138861      1053776.566972146044         1123.705113426516      1052652.861858719029
  9          212.639410056237      1053257.315057408065         1364.455160998154      1051892.859896410024
 10          178.719559103516      1052839.507004196057         1606.865437949069      1051232.641566246981
 11          153.242942912346      1052548.549127598060         1811.682160151678      1050736.866967445938
 12          134.451059865517      1052299.699230269063         2020.542798020874      1050279.156432247953
 13          117.347590641143      1052135.892287600087         2181.048911231073      1049954.843376368983
 14           96.951373947522      1052008.280430946965         2323.601574239372      1049684.678856708109
 15           91.260085969626      1051908.654738189885         2449.512199352481      1049459.142538838089
 16           76.605702993976      1051845.088323150063         2538.759197316041      1049306.329125833930
 17           70.715689281435      1051799.609787394991         2608.302066233412      1049191.307721161982
 18           57.939270195594      1051761.406544063939         2671.607642978405      1049089.798901085975
 19           47.773272203884      1051723.493250913918         2740.328400697733      1048983.164850217057
 20           45.012520815310      1051700.955251180101         2784.816237745556      1048916.139013434062
 21           37.370547119051      1051684.289932902902         2820.088752735116      1048864.201180167031
 22           32.345717657564      1051670.041998266010         2852.387814125384      1048817.654184140963
 23           24.341042675022      1051658.158931616927         2881.346355099889      1048776.812576516997
 24           20.854476059544      1051649.978465205058         2902.746734807264      1048747.231730398024
 25           17.995112519433      1051644.881890079938         2916.938246845090      1048727.943643234903
