               program              observation         number         status
            larccld.fd                GOES_EAST        1049364           read
            larccld.fd                GOES_WEST         827779           read
           metarcld.fd                raw_METAR           5760           read
           metarcld.fd       METAR_on_MPAS_mesh        1066255      processed
          lightning.fd            raw_lightning          45958           read
          lightning.fd   lightning_on_MPAS_mesh           4710      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           62.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1066255       ingested
      cloudanalysis.fd                lightning           4710       ingested
      cloudanalysis.fd                     refl             33       ingested
