        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3927058  3927058  3927058  3792241  3792241            5     0.443552     0.443552
     adpsfc_t181     8900      379      379      365      365       0.7528       2.0059     0.575712
     adpsfc_t183     8900      215      215      213      213  3.49379e+09    0.0652287    0.0424097
     adpsfc_t187     8900     2118     2118     2114     2114       2.2585     0.209047     0.142861
     adpsfc_q181     8900     3038     3038     3035     3035      935.248    0.0736476    0.0381351
     adpsfc_q183     8900     3250     3250     3245     3245      966.134      0.02327    0.0094627
     adpsfc_q187     8900     2457     2457     2454     2454      390.521     0.535756     0.330453
    adpsfc_ps181     8900      380      380      378      378      55.5302      1.95847     0.353306
    adpsfc_ps187     8900     2004     2004     2004     2004      54.8341      1.42839     0.324378
    adpsfc_uv281     8900      668      668      654      654      1.72185     0.902999     0.447085
    adpsfc_uv284     8900      426      426      414      414      1.28645      1.51825     0.564737
    adpsfc_uv287     8900     4110     4110     4074     4074       1.5874      0.75178     0.427218
     adpupa_t120        1        0        0        0        0            0            0            0
     adpupa_q120        1        0        0        0        0            0            0            0
    adpupa_ps120        1        0        0        0        0            0            0            0
    adpupa_uv220        1        0        0        0        0            0            0            0
     aircar_t133    59368    25360    25360    25344    25344     0.940713     0.384254     0.222859
     aircar_q133    59368     2035     2035     2035     2035     0.251531     0.223619     0.132262
    aircar_uv233    59368    51156    51156    51124    51124      2.33044     0.452014     0.240474
     sfcshp_t180     3259      701      701      700      700  7.55929e+08    0.0739257    0.0462182
     sfcshp_t183     3259       40       40       40       40  1.58114e+09     0.694376     0.433976
     sfcshp_q180     3259      495      495      494      494   0.00111005     0.527169     0.243493
     sfcshp_q183     3259      308      308      307      307      952.354    0.0992573    0.0906766
    sfcshp_ps180     3259     1306     1306     1300     1300      38.2602      3.99451     0.776584
    sfcshp_uv280     3259     2094     2094     2092     2092      2.65047      0.22144     0.132081
    sfcshp_uv282     3259       38       38       34       34      1.07922      2.20351      1.10662
    sfcshp_uv284     3259      236      236      226      226       1.1386      1.43111     0.431632
